crid,incident_date,beat_2012_geocoded,complaintcategory,finalfinding,officer_id
1027256,11-Jun-2009  14:48,2515,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NAF,579
1027258,12-Jun-2009  18:56,0614,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,593
1027258,12-Jun-2009  18:56,0614,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,815
1027281,11-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,824
1027281,11-Jun-2009  0:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,825
1027283,11-Jun-2009  0:00,,09A-ALTERCATION/DISTURBANCE - DOMESTIC,NA,826
1027289,13-Jun-2009  0:00,1021,05A-ARRESTEE - DURING ARREST,NS,827
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,828
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,829
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,830
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,831
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,832
1027298,13-Jun-2009  23:00,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,552
1027300,14-Jun-2009  5:51,0925,05A-ARRESTEE - DURING ARREST,NS,316
1027300,14-Jun-2009  5:51,0925,05A-ARRESTEE - DURING ARREST,NS,833
1027300,14-Jun-2009  5:51,0925,05A-ARRESTEE - DURING ARREST,NS,35
1027318,14-Jun-2009  20:00,0613,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,834
1027318,14-Jun-2009  20:00,0613,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,835
1027318,14-Jun-2009  20:00,0613,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,593
1027318,14-Jun-2009  20:00,0613,05N-WEAPON - UNNECESSARY DISPLAY OF,UN,815
1027318,14-Jun-2009  20:00,0613,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,836
1027335,14-Jun-2009  0:15,1832,"01B-RACIAL/ETHNIC, ETC.",NS,837
1027356,14-Jun-2009  0:00,,03D-ILLEGAL ARREST,NAF,298
1027356,14-Jun-2009  0:00,,03D-ILLEGAL ARREST,NAF,304
1027356,14-Jun-2009  0:00,,03D-ILLEGAL ARREST,NAF,838
1027356,14-Jun-2009  0:00,,03D-ILLEGAL ARREST,NAF,305
1027361,11-May-2009  2:50,2024,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,UN,839
1027361,11-May-2009  2:50,2024,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,UN,840
